date,destination,latitude,longitude,temp,humidity,wind_speed,cloud_cover,pressure,rain
2020-01-01,Hue,16.4637,107.5909,23.1,90,24.6,85,1019.7,1
2020-01-02,Hue,16.4637,107.5909,22.9,88,15.2,83,1020.1,1
2020-01-03,Hue,16.4637,107.5909,23.1,85,19.9,86,1018.5,1
2020-01-04,Hue,16.4637,107.5909,22.0,84,21.7,84,1016.7,1
2020-01-05,Hue,16.4637,107.5909,22.2,83,19.4,46,1015.9,1
2020-01-06,Hue,16.4637,107.5909,21.9,86,14.0,11,1015.1,0
2020-01-07,Hue,16.4637,107.5909,22.7,87,17.5,43,1014.2,0
2020-01-08,Hue,16.4637,107.5909,23.5,85,18.3,81,1014.9,1
2020-01-09,Hue,16.4637,107.5909,23.4,84,18.1,45,1013.8,1
2020-01-10,Hue,16.4637,107.5909,22.3,85,16.3,22,1012.4,0
2020-01-11,Hue,16.4637,107.5909,22.6,87,14.0,56,1012.0,1
2020-01-12,Hue,16.4637,107.5909,22.4,87,13.5,57,1013.2,1
2020-01-13,Hue,16.4637,107.5909,22.3,85,23.8,29,1013.3,1
2020-01-14,Hue,16.4637,107.5909,22.1,78,24.9,22,1013.7,0
2020-01-15,Hue,16.4637,107.5909,22.0,80,20.8,1,1013.1,0
2020-01-16,Hue,16.4637,107.5909,22.3,85,14.6,3,1013.4,0
2020-01-17,Hue,16.4637,107.5909,23.0,84,17.3,28,1015.7,0
2020-01-18,Hue,16.4637,107.5909,22.3,81,20.7,10,1015.0,0
2020-01-19,Hue,16.4637,107.5909,22.2,80,23.0,9,1015.9,0
2020-01-20,Hue,16.4637,107.5909,21.8,79,22.3,42,1017.1,1
2020-01-21,Hue,16.4637,107.5909,22.2,76,23.8,26,1017.2,0
2020-01-22,Hue,16.4637,107.5909,22.5,81,18.7,43,1015.0,0
2020-01-23,Hue,16.4637,107.5909,23.2,86,14.1,52,1012.6,0
2020-01-24,Hue,16.4637,107.5909,24.3,84,20.6,84,1011.8,0
2020-01-25,Hue,16.4637,107.5909,24.2,83,18.0,93,1009.8,0
2020-01-26,Hue,16.4637,107.5909,20.1,90,27.4,99,1013.6,1
2020-01-27,Hue,16.4637,107.5909,19.3,88,17.1,99,1013.2,1
2020-01-28,Hue,16.4637,107.5909,19.3,92,16.2,100,1014.4,1
2020-01-29,Hue,16.4637,107.5909,19.5,92,16.6,100,1017.2,1
2020-01-30,Hue,16.4637,107.5909,18.1,92,14.5,97,1018.5,1
2020-01-31,Hue,16.4637,107.5909,19.3,81,19.9,56,1017.5,1
2020-02-01,Hue,16.4637,107.5909,20.2,78,24.1,51,1016.5,1
2020-02-02,Hue,16.4637,107.5909,20.7,81,20.4,4,1016.7,0
2020-02-03,Hue,16.4637,107.5909,21.4,84,22.3,16,1015.2,0
2020-02-04,Hue,16.4637,107.5909,21.7,84,22.0,31,1014.7,0
2020-02-05,Hue,16.4637,107.5909,21.5,82,20.6,28,1015.0,1
2020-02-06,Hue,16.4637,107.5909,21.8,81,17.3,40,1014.0,0
2020-02-07,Hue,16.4637,107.5909,21.2,85,15.6,51,1016.1,0
2020-02-08,Hue,16.4637,107.5909,22.2,84,21.5,50,1018.5,1
2020-02-09,Hue,16.4637,107.5909,21.9,81,24.2,56,1020.0,1
2020-02-10,Hue,16.4637,107.5909,21.2,84,19.2,85,1018.4,1
2020-02-11,Hue,16.4637,107.5909,22.3,89,15.1,40,1016.1,1
2020-02-12,Hue,16.4637,107.5909,23.5,90,13.9,41,1013.6,0
2020-02-13,Hue,16.4637,107.5909,24.9,90,10.1,53,1010.4,1
2020-02-14,Hue,16.4637,107.5909,25.5,87,12.7,47,1008.0,0
2020-02-15,Hue,16.4637,107.5909,26.0,83,15.0,4,1008.6,0
2020-02-16,Hue,16.4637,107.5909,21.9,90,27.6,86,1015.8,1
2020-02-17,Hue,16.4637,107.5909,19.1,91,17.2,100,1021.7,1
2020-02-18,Hue,16.4637,107.5909,18.9,91,14.7,100,1020.9,1
2020-02-19,Hue,16.4637,107.5909,21.2,86,18.4,57,1019.3,1
2020-02-20,Hue,16.4637,107.5909,21.1,84,20.6,45,1019.2,1
2020-02-21,Hue,16.4637,107.5909,21.2,85,19.5,57,1021.8,1
2020-02-22,Hue,16.4637,107.5909,21.2,88,17.9,69,1022.4,1
2020-02-23,Hue,16.4637,107.5909,20.6,87,17.2,36,1020.7,1
2020-02-24,Hue,16.4637,107.5909,20.3,85,15.5,24,1016.9,0
2020-02-25,Hue,16.4637,107.5909,20.5,86,14.8,30,1014.9,0
2020-02-26,Hue,16.4637,107.5909,22.2,89,18.8,30,1015.2,1
2020-02-27,Hue,16.4637,107.5909,22.5,87,19.3,66,1014.8,1
2020-02-28,Hue,16.4637,107.5909,22.7,87,20.5,69,1013.4,0
2020-02-29,Hue,16.4637,107.5909,23.0,89,16.4,39,1011.6,0
2020-03-01,Hue,16.4637,107.5909,23.8,90,14.5,60,1011.2,0
2020-03-02,Hue,16.4637,107.5909,23.9,89,25.9,54,1011.4,0
2020-03-03,Hue,16.4637,107.5909,24.3,86,24.0,41,1011.7,0
2020-03-04,Hue,16.4637,107.5909,24.4,87,20.5,46,1012.2,1
2020-03-05,Hue,16.4637,107.5909,23.9,87,15.8,88,1014.0,1
2020-03-06,Hue,16.4637,107.5909,22.9,89,13.8,86,1013.6,1
2020-03-07,Hue,16.4637,107.5909,24.3,89,13.3,50,1010.4,0
2020-03-08,Hue,16.4637,107.5909,26.3,86,13.7,9,1006.8,0
2020-03-09,Hue,16.4637,107.5909,27.7,73,13.5,6,1004.6,0
2020-03-10,Hue,16.4637,107.5909,25.2,81,23.2,38,1008.6,1
2020-03-11,Hue,16.4637,107.5909,24.2,87,12.8,77,1012.7,1
2020-03-12,Hue,16.4637,107.5909,26.0,87,9.5,23,1010.9,0
2020-03-13,Hue,16.4637,107.5909,27.2,86,13.6,40,1010.4,0
2020-03-14,Hue,16.4637,107.5909,25.5,89,17.9,86,1013.0,1
2020-03-15,Hue,16.4637,107.5909,24.9,87,15.5,88,1014.3,1
2020-03-16,Hue,16.4637,107.5909,25.5,85,27.4,50,1013.1,1
2020-03-17,Hue,16.4637,107.5909,25.7,85,23.3,61,1012.8,1
2020-03-18,Hue,16.4637,107.5909,25.8,82,15.9,47,1010.9,0
2020-03-19,Hue,16.4637,107.5909,26.5,85,10.6,74,1009.9,1
2020-03-20,Hue,16.4637,107.5909,26.0,89,11.3,50,1011.4,1
2020-03-21,Hue,16.4637,107.5909,26.5,84,12.1,28,1010.5,0
2020-03-22,Hue,16.4637,107.5909,26.7,82,12.8,9,1010.0,0
2020-03-23,Hue,16.4637,107.5909,26.1,81,16.8,9,1009.9,0
2020-03-24,Hue,16.4637,107.5909,25.6,81,19.8,24,1009.8,0
2020-03-25,Hue,16.4637,107.5909,26.6,80,21.6,23,1008.5,0
2020-03-26,Hue,16.4637,107.5909,27.5,80,12.5,24,1008.8,0
2020-03-27,Hue,16.4637,107.5909,28.3,79,13.7,37,1008.2,0
2020-03-28,Hue,16.4637,107.5909,28.2,80,13.8,44,1007.7,0
2020-03-29,Hue,16.4637,107.5909,28.3,79,14.5,26,1007.2,0
2020-03-30,Hue,16.4637,107.5909,29.0,78,13.0,15,1006.6,0
2020-03-31,Hue,16.4637,107.5909,29.1,77,16.3,8,1007.8,0
2020-04-01,Hue,16.4637,107.5909,27.3,83,15.3,64,1009.8,1
2020-04-02,Hue,16.4637,107.5909,27.3,79,24.1,32,1010.1,0
2020-04-03,Hue,16.4637,107.5909,27.5,78,19.8,36,1010.7,0
2020-04-04,Hue,16.4637,107.5909,27.3,81,24.1,36,1011.6,1
2020-04-05,Hue,16.4637,107.5909,26.3,83,17.2,46,1013.0,1
2020-04-06,Hue,16.4637,107.5909,23.8,85,22.2,98,1012.8,1
2020-04-07,Hue,16.4637,107.5909,23.7,87,17.7,100,1012.2,1
2020-04-08,Hue,16.4637,107.5909,23.7,84,19.6,90,1013.0,1
2020-04-09,Hue,16.4637,107.5909,24.2,88,16.6,86,1013.8,1
2020-04-10,Hue,16.4637,107.5909,25.2,89,17.7,90,1013.3,1
2020-04-11,Hue,16.4637,107.5909,26.1,87,13.5,82,1011.5,0
2020-04-12,Hue,16.4637,107.5909,24.8,92,19.7,96,1012.8,1
2020-04-13,Hue,16.4637,107.5909,22.2,83,20.7,100,1016.0,1
2020-04-14,Hue,16.4637,107.5909,22.6,86,12.2,99,1014.9,1
2020-04-15,Hue,16.4637,107.5909,23.8,87,15.9,85,1012.8,1
2020-04-16,Hue,16.4637,107.5909,24.9,87,14.9,84,1010.2,0
2020-04-17,Hue,16.4637,107.5909,26.0,87,15.2,89,1009.8,0
2020-04-18,Hue,16.4637,107.5909,26.0,91,11.2,94,1010.7,0
2020-04-19,Hue,16.4637,107.5909,27.3,85,12.0,29,1008.8,0
2020-04-20,Hue,16.4637,107.5909,27.9,87,11.0,77,1008.7,0
2020-04-21,Hue,16.4637,107.5909,28.5,84,12.1,55,1007.7,0
2020-04-22,Hue,16.4637,107.5909,27.6,88,10.2,62,1008.8,0
2020-04-23,Hue,16.4637,107.5909,26.8,87,20.9,96,1011.0,1
2020-04-24,Hue,16.4637,107.5909,24.6,91,24.9,99,1013.6,1
2020-04-25,Hue,16.4637,107.5909,22.4,94,20.6,100,1014.4,1
2020-04-26,Hue,16.4637,107.5909,23.2,93,17.4,100,1015.3,1
2020-04-27,Hue,16.4637,107.5909,22.9,91,18.5,99,1016.1,1
2020-04-28,Hue,16.4637,107.5909,23.2,87,13.4,76,1015.0,1
2020-04-29,Hue,16.4637,107.5909,24.3,87,15.5,47,1013.4,1
2020-04-30,Hue,16.4637,107.5909,25.5,89,14.3,46,1012.5,1
2020-05-01,Hue,16.4637,107.5909,26.1,88,14.5,19,1009.7,0
2020-05-02,Hue,16.4637,107.5909,26.6,90,12.6,50,1007.7,0
2020-05-03,Hue,16.4637,107.5909,27.7,89,13.2,46,1007.2,0
2020-05-04,Hue,16.4637,107.5909,28.4,88,10.8,41,1007.6,0
2020-05-05,Hue,16.4637,107.5909,28.6,88,12.6,52,1006.5,0
2020-05-06,Hue,16.4637,107.5909,29.4,84,10.8,36,1005.5,0
2020-05-07,Hue,16.4637,107.5909,29.6,83,13.7,44,1004.8,0
2020-05-08,Hue,16.4637,107.5909,30.3,81,14.8,46,1004.7,1
2020-05-09,Hue,16.4637,107.5909,30.4,81,13.3,48,1006.2,1
2020-05-10,Hue,16.4637,107.5909,30.5,78,14.6,9,1006.5,0
2020-05-11,Hue,16.4637,107.5909,29.2,85,11.4,71,1007.2,0
2020-05-12,Hue,16.4637,107.5909,28.3,85,12.5,65,1008.5,0
2020-05-13,Hue,16.4637,107.5909,28.3,85,15.3,32,1008.3,0
2020-05-14,Hue,16.4637,107.5909,28.3,84,12.8,26,1007.7,1
2020-05-15,Hue,16.4637,107.5909,29.2,82,12.9,48,1004.9,0
2020-05-16,Hue,16.4637,107.5909,29.4,78,12.7,45,1004.4,0
2020-05-17,Hue,16.4637,107.5909,29.8,80,11.0,55,1003.4,1
2020-05-18,Hue,16.4637,107.5909,29.3,77,11.9,46,1003.3,1
2020-05-19,Hue,16.4637,107.5909,30.0,78,9.4,64,1003.6,1
2020-05-20,Hue,16.4637,107.5909,30.2,75,11.1,91,1004.0,1
2020-05-21,Hue,16.4637,107.5909,31.8,69,11.3,97,1003.2,1
2020-05-22,Hue,16.4637,107.5909,32.6,65,13.0,99,1003.3,0
2020-05-23,Hue,16.4637,107.5909,30.1,79,11.1,99,1005.1,1
2020-05-24,Hue,16.4637,107.5909,29.1,87,11.2,97,1007.0,1
2020-05-25,Hue,16.4637,107.5909,29.8,82,11.2,64,1007.4,1
2020-05-26,Hue,16.4637,107.5909,29.9,78,12.1,80,1006.9,0
2020-05-27,Hue,16.4637,107.5909,28.5,86,6.2,71,1008.2,1
2020-05-28,Hue,16.4637,107.5909,27.1,90,10.5,96,1008.7,1
2020-05-29,Hue,16.4637,107.5909,28.4,87,6.8,60,1007.9,1
2020-05-30,Hue,16.4637,107.5909,29.3,80,14.6,80,1009.0,1
2020-05-31,Hue,16.4637,107.5909,29.2,81,13.3,33,1008.9,0
2020-06-01,Hue,16.4637,107.5909,28.9,79,9.5,67,1008.3,1
2020-06-02,Hue,16.4637,107.5909,28.5,84,11.2,56,1007.2,1
2020-06-03,Hue,16.4637,107.5909,28.6,81,10.8,35,1006.2,1
2020-06-04,Hue,16.4637,107.5909,29.1,81,13.0,70,1005.6,1
2020-06-05,Hue,16.4637,107.5909,29.7,77,9.0,83,1005.4,1
2020-06-06,Hue,16.4637,107.5909,29.9,76,11.3,70,1005.3,0
2020-06-07,Hue,16.4637,107.5909,30.7,71,13.0,79,1004.1,0
2020-06-08,Hue,16.4637,107.5909,30.9,67,15.3,84,1004.2,0
2020-06-09,Hue,16.4637,107.5909,30.6,71,16.6,94,1005.1,1
2020-06-10,Hue,16.4637,107.5909,30.2,73,13.3,84,1005.8,1
2020-06-11,Hue,16.4637,107.5909,29.8,76,13.3,77,1005.0,1
2020-06-12,Hue,16.4637,107.5909,30.5,72,18.7,19,1003.0,0
2020-06-13,Hue,16.4637,107.5909,31.0,69,10.6,75,1002.0,1
2020-06-14,Hue,16.4637,107.5909,30.2,71,13.5,100,1004.1,1
2020-06-15,Hue,16.4637,107.5909,28.9,78,10.7,90,1006.8,1
2020-06-16,Hue,16.4637,107.5909,28.4,80,9.1,95,1006.8,1
2020-06-17,Hue,16.4637,107.5909,28.9,77,10.6,89,1006.1,1
2020-06-18,Hue,16.4637,107.5909,29.5,70,13.3,34,1005.6,1
2020-06-19,Hue,16.4637,107.5909,29.9,73,18.7,34,1005.9,1
2020-06-20,Hue,16.4637,107.5909,30.4,71,13.3,47,1005.7,1
2020-06-21,Hue,16.4637,107.5909,31.3,66,14.1,7,1004.1,1
2020-06-22,Hue,16.4637,107.5909,31.6,62,18.8,15,1003.7,0
2020-06-23,Hue,16.4637,107.5909,32.0,64,13.6,59,1004.9,0
2020-06-24,Hue,16.4637,107.5909,32.7,61,20.1,85,1004.3,1
2020-06-25,Hue,16.4637,107.5909,32.3,63,22.4,91,1003.7,1
2020-06-26,Hue,16.4637,107.5909,31.1,67,16.8,66,1004.7,1
2020-06-27,Hue,16.4637,107.5909,30.6,67,15.9,22,1005.3,1
2020-06-28,Hue,16.4637,107.5909,30.4,66,19.5,61,1004.7,0
2020-06-29,Hue,16.4637,107.5909,30.1,73,15.9,66,1004.1,1
2020-06-30,Hue,16.4637,107.5909,31.2,63,10.5,86,1003.2,0
2020-07-01,Hue,16.4637,107.5909,30.8,63,9.2,90,1002.4,1
2020-07-02,Hue,16.4637,107.5909,29.6,74,14.3,81,1002.4,1
2020-07-03,Hue,16.4637,107.5909,28.4,82,14.0,94,1004.7,1
2020-07-04,Hue,16.4637,107.5909,28.5,81,12.1,87,1006.0,1
2020-07-05,Hue,16.4637,107.5909,29.1,76,15.3,42,1004.8,1
2020-07-06,Hue,16.4637,107.5909,29.9,74,14.9,16,1004.3,1
2020-07-07,Hue,16.4637,107.5909,30.3,72,11.8,40,1006.3,1
2020-07-08,Hue,16.4637,107.5909,31.1,70,14.6,75,1006.0,1
2020-07-09,Hue,16.4637,107.5909,32.2,60,23.2,95,1003.4,0
2020-07-10,Hue,16.4637,107.5909,32.4,59,16.5,82,1003.4,0
2020-07-11,Hue,16.4637,107.5909,31.7,62,23.4,94,1004.4,1
2020-07-12,Hue,16.4637,107.5909,30.7,66,19.2,31,1004.4,1
2020-07-13,Hue,16.4637,107.5909,30.4,69,16.6,25,1005.2,0
2020-07-14,Hue,16.4637,107.5909,30.2,71,14.4,38,1005.8,0
2020-07-15,Hue,16.4637,107.5909,29.9,71,11.9,43,1005.1,1
2020-07-16,Hue,16.4637,107.5909,30.2,70,16.1,26,1004.7,1
2020-07-17,Hue,16.4637,107.5909,30.6,66,17.7,30,1005.6,0
2020-07-18,Hue,16.4637,107.5909,31.3,67,17.6,32,1005.8,0
2020-07-19,Hue,16.4637,107.5909,31.7,62,15.5,55,1005.0,0
2020-07-20,Hue,16.4637,107.5909,31.2,65,16.4,97,1005.6,1
2020-07-21,Hue,16.4637,107.5909,30.4,71,22.3,43,1006.8,1
2020-07-22,Hue,16.4637,107.5909,29.9,72,16.5,26,1006.7,1
2020-07-23,Hue,16.4637,107.5909,30.1,71,12.9,18,1006.8,1
2020-07-24,Hue,16.4637,107.5909,30.0,67,14.5,50,1006.8,1
2020-07-25,Hue,16.4637,107.5909,30.3,66,15.0,28,1006.2,0
2020-07-26,Hue,16.4637,107.5909,30.9,66,13.7,24,1005.4,1
2020-07-27,Hue,16.4637,107.5909,30.5,69,12.1,49,1004.5,1
2020-07-28,Hue,16.4637,107.5909,29.4,76,9.7,59,1005.3,1
2020-07-29,Hue,16.4637,107.5909,30.0,74,13.5,65,1005.2,1
2020-07-30,Hue,16.4637,107.5909,29.9,73,13.3,80,1004.2,1
2020-07-31,Hue,16.4637,107.5909,27.9,84,16.2,100,1001.5,1
2020-08-01,Hue,16.4637,107.5909,26.4,91,10.2,100,997.4,1
2020-08-02,Hue,16.4637,107.5909,28.4,84,9.1,99,997.7,1
2020-08-03,Hue,16.4637,107.5909,28.7,85,11.4,98,1000.3,1
2020-08-04,Hue,16.4637,107.5909,29.0,81,6.9,99,1001.6,1
2020-08-05,Hue,16.4637,107.5909,28.3,84,9.2,92,1004.3,1
2020-08-06,Hue,16.4637,107.5909,28.3,84,12.3,83,1005.7,1
2020-08-07,Hue,16.4637,107.5909,28.3,83,16.6,48,1004.9,1
2020-08-08,Hue,16.4637,107.5909,28.3,83,10.4,17,1004.0,1
2020-08-09,Hue,16.4637,107.5909,28.5,81,13.4,15,1003.4,1
2020-08-10,Hue,16.4637,107.5909,29.7,77,13.0,30,1003.3,1
2020-08-11,Hue,16.4637,107.5909,29.8,75,14.1,75,1004.0,1
2020-08-12,Hue,16.4637,107.5909,28.6,80,11.1,85,1005.6,1
2020-08-13,Hue,16.4637,107.5909,26.9,90,12.7,100,1006.5,1
2020-08-14,Hue,16.4637,107.5909,27.1,88,11.2,100,1006.8,1
2020-08-15,Hue,16.4637,107.5909,27.4,85,9.1,98,1006.8,1
2020-08-16,Hue,16.4637,107.5909,27.8,82,10.9,87,1006.1,1
2020-08-17,Hue,16.4637,107.5909,27.7,83,15.8,97,1005.5,1
2020-08-18,Hue,16.4637,107.5909,27.6,83,11.9,80,1004.9,1
2020-08-19,Hue,16.4637,107.5909,28.0,84,12.3,84,1004.5,1
2020-08-20,Hue,16.4637,107.5909,27.8,81,10.5,93,1005.8,1
2020-08-21,Hue,16.4637,107.5909,27.6,83,10.0,95,1007.1,1
2020-08-22,Hue,16.4637,107.5909,27.1,88,8.9,89,1007.1,1
2020-08-23,Hue,16.4637,107.5909,27.8,86,9.1,88,1006.9,1
2020-08-24,Hue,16.4637,107.5909,29.1,78,13.0,82,1006.0,1
2020-08-25,Hue,16.4637,107.5909,30.4,75,13.3,46,1004.7,1
2020-08-26,Hue,16.4637,107.5909,30.3,71,15.8,64,1003.1,0
2020-08-27,Hue,16.4637,107.5909,28.7,75,10.9,99,1001.9,1
2020-08-28,Hue,16.4637,107.5909,29.5,72,15.5,57,1002.1,0
2020-08-29,Hue,16.4637,107.5909,29.6,73,12.6,74,1003.5,1
2020-08-30,Hue,16.4637,107.5909,29.6,74,13.3,27,1004.2,1
2020-08-31,Hue,16.4637,107.5909,29.3,75,13.7,14,1005.6,0
2020-09-01,Hue,16.4637,107.5909,28.9,79,16.3,35,1006.1,1
2020-09-02,Hue,16.4637,107.5909,29.5,76,16.4,31,1006.4,1
2020-09-03,Hue,16.4637,107.5909,29.9,71,16.7,63,1007.1,1
2020-09-04,Hue,16.4637,107.5909,30.1,71,15.2,85,1006.7,1
2020-09-05,Hue,16.4637,107.5909,30.4,72,9.9,60,1005.5,1
2020-09-06,Hue,16.4637,107.5909,30.9,70,13.4,80,1004.2,1
2020-09-07,Hue,16.4637,107.5909,30.7,70,13.7,95,1005.0,1
2020-09-08,Hue,16.4637,107.5909,29.8,76,15.2,99,1007.3,1
2020-09-09,Hue,16.4637,107.5909,29.2,78,9.8,90,1007.5,1
2020-09-10,Hue,16.4637,107.5909,29.5,75,10.7,74,1005.2,1
2020-09-11,Hue,16.4637,107.5909,30.0,70,15.8,30,1006.1,0
2020-09-12,Hue,16.4637,107.5909,30.0,71,13.8,48,1008.2,1
2020-09-13,Hue,16.4637,107.5909,30.0,71,19.5,69,1008.4,1
2020-09-14,Hue,16.4637,107.5909,30.0,71,17.6,66,1007.3,1
2020-09-15,Hue,16.4637,107.5909,30.1,68,14.5,44,1006.8,1
2020-09-16,Hue,16.4637,107.5909,30.6,68,12.5,88,1005.6,1
2020-09-17,Hue,16.4637,107.5909,28.2,82,24.3,100,1002.9,1
2020-09-18,Hue,16.4637,107.5909,27.4,84,41.0,100,997.1,1
2020-09-19,Hue,16.4637,107.5909,27.0,83,9.0,99,1004.6,1
2020-09-20,Hue,16.4637,107.5909,26.8,90,7.6,100,1008.6,1
2020-09-21,Hue,16.4637,107.5909,26.8,91,6.9,79,1008.7,1
2020-09-22,Hue,16.4637,107.5909,28.0,86,10.3,30,1007.8,1
2020-09-23,Hue,16.4637,107.5909,28.1,81,14.8,80,1007.8,0
2020-09-24,Hue,16.4637,107.5909,27.9,82,11.6,75,1008.7,0
2020-09-25,Hue,16.4637,107.5909,28.3,81,10.8,67,1007.6,1
2020-09-26,Hue,16.4637,107.5909,28.9,77,12.4,70,1006.5,1
2020-09-27,Hue,16.4637,107.5909,28.5,78,17.8,87,1006.3,1
2020-09-28,Hue,16.4637,107.5909,28.2,82,15.2,96,1006.2,1
2020-09-29,Hue,16.4637,107.5909,27.7,86,10.1,86,1006.2,1
2020-09-30,Hue,16.4637,107.5909,27.9,85,8.2,67,1005.4,1
2020-10-01,Hue,16.4637,107.5909,27.3,89,10.4,75,1005.5,1
2020-10-02,Hue,16.4637,107.5909,27.8,86,16.6,89,1006.3,1
2020-10-03,Hue,16.4637,107.5909,27.0,90,11.6,96,1007.5,1
2020-10-04,Hue,16.4637,107.5909,27.1,90,9.1,93,1008.0,1
2020-10-05,Hue,16.4637,107.5909,26.8,90,12.0,54,1008.2,1
2020-10-06,Hue,16.4637,107.5909,25.7,93,20.8,83,1008.9,1
2020-10-07,Hue,16.4637,107.5909,25.8,93,32.0,100,1007.4,1
2020-10-08,Hue,16.4637,107.5909,25.6,93,31.1,100,1007.6,1
2020-10-09,Hue,16.4637,107.5909,25.5,93,57.1,100,1008.4,1
2020-10-10,Hue,16.4637,107.5909,25.3,90,28.4,100,1008.9,1
2020-10-11,Hue,16.4637,107.5909,24.9,90,31.2,100,1005.7,1
2020-10-12,Hue,16.4637,107.5909,25.4,92,17.5,100,1003.7,1
2020-10-13,Hue,16.4637,107.5909,25.0,92,18.4,100,1004.5,1
2020-10-14,Hue,16.4637,107.5909,25.5,84,16.7,98,1005.3,1
2020-10-15,Hue,16.4637,107.5909,25.4,92,12.9,98,1006.2,1
2020-10-16,Hue,16.4637,107.5909,25.5,93,28.0,99,1005.5,1
